Bob the Galaxy
Disk M/L = 0.5, Bulge M/L = 0.4
R_C = 5.5 +/- 0.47 kpc, V_H = 256 +/- 11 km/s
chi squared = 0.805, reduced chi squared = 0.067
Rad	V_Rot	V_err	V_gas	V_disk	V_bulge	V_bary	V_halo	V_tot
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.48	210.71	19.32	64.43	86.54	209.82	235.94	12.82	236.29
0.96	233.00	8.40	75.72	114.95	194.37	238.18	25.47	239.54
1.44	226.62	6.93	68.17	146.38	166.00	231.58	37.79	234.64
1.92	233.96	5.23	61.96	170.91	145.08	232.59	49.65	237.83
2.40	244.80	3.70	60.61	190.42	129.93	238.36	60.95	246.03
2.88	244.03	11.22	69.54	205.36	118.59	247.13	71.61	257.30
3.36	260.91	11.22	75.47	209.73	109.79	248.47	81.62	261.53
3.84	258.62	10.93	73.41	208.15	102.72	243.45	90.94	259.88
4.32	258.31	10.93	68.88	205.06	96.85	237.01	99.61	257.09
4.80	258.38	10.84	65.80	201.99	91.88	231.46	107.63	255.26
5.60	260.70	10.82	61.91	201.46	85.06	227.27	119.68	256.86
6.40	263.01	10.79	59.48	202.29	79.57	225.37	130.23	260.29
7.20	263.79	10.74	58.12	202.89	75.02	223.99	139.49	263.87
8.00	264.73	10.72	58.11	201.34	71.17	221.31	147.63	266.03
8.80	264.98	10.69	58.21	197.86	67.86	217.12	154.81	266.66
9.60	264.06	10.63	57.31	193.46	64.97	211.98	161.18	266.29
10.40	263.74	10.57	55.11	188.24	62.42	205.84	166.85	264.97
11.20	265.19	10.61	51.89	182.58	60.15	199.11	171.92	263.06
